k,t,Qnum,Qlevel,Qlength,approach,time,size
20,2,0,0,2,acts,0.0386,30.8
20,2,8,1,2,acts,1.9054,28
20,2,17,2,2,acts,9.4514,28.6
20,2,26,3,2,acts,8.191,29.6
20,2,35,4,2,acts,10.2018,30.2
20,2,44,5,2,acts,8.353,31
20,2,53,6,2,acts,11.8898,32.8
20,2,62,7,2,acts,3.9392,35.4
20,2,71,8,2,acts,9.3698,35.6
20,2,80,9,2,acts,7.4456,37.6
80,2,0,0,2,acts,0.1038,44
80,2,17,1,2,acts,1.6732,44
80,2,35,2,2,acts,2.7012,43.4
80,2,53,3,2,acts,20.826,42.6
80,2,71,4,2,acts,10.9426,43.4
80,2,89,5,2,acts,18.684,44
80,2,107,6,2,acts,49.8216,44.2
80,2,125,7,2,acts,45.2276,44.8
80,2,143,8,2,acts,43.3112,45.6
80,2,160,9,2,acts,66.5952,48
140,2,0,0,2,acts,0.1688,49.6
140,2,23,1,2,acts,1.7906,48.8
140,2,47,2,2,acts,2.7066,48.2
140,2,70,3,2,acts,4.9198,48.6
140,2,94,4,2,acts,15.0608,48.8
140,2,118,5,2,acts,40.0366,48.2
140,2,141,6,2,acts,71.835,48.4
140,2,165,7,2,acts,98.2476,48.8
140,2,189,8,2,acts,142.7348,50
140,2,212,9,2,acts,202.3482,51.2
200,2,0,0,2,acts,2.5166,52.4
200,2,28,1,2,acts,6.0554,52.4
200,2,56,2,2,acts,11.42,52.6
200,2,84,3,2,acts,13.4122,51
200,2,113,4,2,acts,15.7278,51.2
200,2,141,5,2,acts,74.4664,51.6
200,2,169,6,2,acts,143.7194,51.2
200,2,197,7,2,acts,207.9088,51.8
200,2,226,8,2,acts,270.553,52
200,2,254,9,2,acts,382.29,53
20,3,0,0,2,acts,0.0868,141.6
20,3,8,1,2,acts,1.6304,140.2
20,3,17,2,2,acts,4.411,143.6
20,3,26,3,2,acts,7.7828,150.6
20,3,35,4,2,acts,14.7658,161.2
20,3,44,5,2,acts,21.3064,164.6
20,3,53,6,2,acts,36.1928,173.6
20,3,62,7,2,acts,56.26,188.2
20,3,71,8,2,acts,76.014,193
20,3,80,9,2,acts,131.9278,208.8
80,3,0,0,2,acts,1.0388,252.8
80,3,17,1,2,acts,3.1872,259
80,3,35,2,2,acts,5.8846,259
80,3,53,3,2,acts,54.0156,266
80,3,71,4,2,acts,378.4006,264.8
80,3,89,5,2,acts,938.6406,272.6
80,3,107,6,2,acts,1961.3948,283.6
80,3,125,7,2,acts,3211.4074,297.4
80,3,143,8,2,acts,5469.805,315.8
80,3,160,9,2,acts,8349.0016,328
140,3,0,0,2,acts,6.5376,310.8
140,3,23,1,2,acts,10.5366,313.8
140,3,47,2,2,acts,19.5224,316.2
140,3,70,3,2,acts,98.4096,316.8
140,3,94,4,2,acts,889.6518,318.2
140,3,118,5,2,acts,3307.2134,319.8
140,3,141,6,2,acts,7350.8468,326
140,3,165,7,2,acts,11483.9068,328.8
140,3,189,8,2,acts,22616.2518,353.8
140,3,212,9,2,acts,31169.2852,358.6
200,3,0,0,2,acts,19.1372,344.2
200,3,28,1,2,acts,27.3928,347.2
200,3,56,2,2,acts,31.1822,346.6
200,3,84,3,2,acts,51.0592,346.4
200,3,113,4,2,acts,1041.3554,347.4
200,3,141,5,2,acts,5477.167,352
200,3,169,6,2,acts,12932.4704,351.8
200,3,197,7,2,acts,33159.8198,366.8
200,3,226,8,2,acts,42022.4564,359.4
200,3,254,9,2,acts,61379,367.3
20,2,0,0,3,acts,0.0388,30.8
20,2,8,1,3,acts,6.8786,30.8
20,2,17,2,3,acts,8.6416,30.6
20,2,26,3,3,acts,10.3576,30.6
20,2,35,4,3,acts,9.5722,30.8
20,2,44,5,3,acts,11.5908,30.6
20,2,53,6,3,acts,3.0938,30.6
20,2,62,7,3,acts,3.3078,29.6
20,2,71,8,3,acts,11.8458,29.2
20,2,80,9,3,acts,3.8416,30.6
80,2,0,0,3,acts,0.1036,44
80,2,17,1,3,acts,2.874,43.6
80,2,35,2,3,acts,21.2948,43.8
80,2,53,3,3,acts,13.0112,43.8
80,2,71,4,3,acts,20.432,43.6
80,2,89,5,3,acts,44.6462,43.6
80,2,107,6,3,acts,37.814,44.2
80,2,125,7,3,acts,30.6598,44.2
80,2,143,8,3,acts,33.2264,43
80,2,160,9,3,acts,37.934,43.8
140,2,0,0,3,acts,0.166,49.6
140,2,23,1,3,acts,3.7212,49.4
140,2,47,2,3,acts,16.8274,49.4
140,2,70,3,3,acts,37.1336,49.2
140,2,94,4,3,acts,59.5876,49
140,2,118,5,3,acts,78.6012,49
140,2,141,6,3,acts,98.614,48.6
140,2,165,7,3,acts,112.945,48.6
140,2,189,8,3,acts,134.7698,49.4
140,2,212,9,3,acts,145.469,48.8
200,2,0,0,3,acts,0.2422,52.4
200,2,28,1,3,acts,3.6416,52.6
200,2,56,2,3,acts,25.8008,52.4
200,2,84,3,3,acts,74.942,52.2
200,2,113,4,3,acts,134.7872,51.6
200,2,141,5,3,acts,189.9934,52.2
200,2,169,6,3,acts,244.9026,52
200,2,197,7,3,acts,293.445,52.4
200,2,226,8,3,acts,339.5336,52.2
200,2,254,9,3,acts,378.7484,52.2
20,3,0,0,3,acts,0.0872,141.6
20,3,8,1,3,acts,3.0862,139.6
20,3,17,2,3,acts,4.4736,139.2
20,3,26,3,3,acts,6.0786,140.2
20,3,35,4,3,acts,7.6328,139.8
20,3,44,5,3,acts,9.3968,141.2
20,3,53,6,3,acts,11.002,143.4
20,3,62,7,3,acts,12.8762,145.2
20,3,71,8,3,acts,15.8372,149.4
20,3,80,9,3,acts,19.5188,152.8
80,3,0,0,3,acts,1.0406,252.8
80,3,17,1,3,acts,7.6634,254
80,3,35,2,3,acts,110.1282,255.8
80,3,53,3,3,acts,228.7504,253.2
80,3,71,4,3,acts,326.193,255.2
80,3,89,5,3,acts,433.706,257
80,3,107,6,3,acts,528.5154,257.4
80,3,125,7,3,acts,614.4094,259.4
80,3,143,8,3,acts,720.1564,256.8
80,3,160,9,3,acts,792.2568,256.6
140,3,0,0,3,acts,6.211,310.8
140,3,23,1,3,acts,17.694,312.6
140,3,47,2,3,acts,385.0074,312.2
140,3,70,3,3,acts,1088.2726,313.8
140,3,94,4,3,acts,1767.6204,313.2
140,3,118,5,3,acts,2380.1562,314.8
140,3,141,6,3,acts,2887.1664,313
140,3,165,7,3,acts,3407.4728,314
140,3,189,8,3,acts,3971.7626,314.6
140,3,212,9,3,acts,4250.8846,313.8
200,3,0,0,3,acts,21.9482,344.2
200,3,28,1,3,acts,34.4824,344.6
200,3,56,2,3,acts,607.5648,344.8
200,3,84,3,3,acts,2521.9714,345.2
200,3,113,4,3,acts,4298.7836,343.8
200,3,141,5,3,acts,6164.5006,344.4
200,3,169,6,3,acts,8167.2596,345.6
200,3,197,7,3,acts,9006.9532,345.2
200,3,226,8,3,acts,10543.7742,346.8
200,3,254,9,3,acts,12078.6274,345.2
20,2,0,0,4,acts,0.0394,30.8
20,2,8,1,4,acts,9.7226,30.8
20,2,17,2,4,acts,8.7982,30.8
20,2,26,3,4,acts,12.1356,30.8
20,2,35,4,4,acts,8.0358,30.6
20,2,44,5,4,acts,8.3044,30.8
20,2,53,6,4,acts,3.4994,30.8
20,2,62,7,4,acts,8.0508,30.8
20,2,71,8,4,acts,6.876,30.8
20,2,80,9,4,acts,4.131,30.8
80,2,0,0,4,acts,0.1032,44
80,2,17,1,4,acts,6.9862,44
80,2,35,2,4,acts,25.2748,44
80,2,53,3,4,acts,17.809,43.6
80,2,71,4,4,acts,47.7512,44
80,2,89,5,4,acts,39.797,44
80,2,107,6,4,acts,31.1968,43.8
80,2,125,7,4,acts,36.1394,44
80,2,143,8,4,acts,40.3052,44
80,2,160,9,4,acts,43.5618,43.8
140,2,0,0,4,acts,0.1678,49.6
140,2,23,1,4,acts,8.363,49.6
140,2,47,2,4,acts,32.1016,49.6
140,2,70,3,4,acts,61.7564,49.6
140,2,94,4,4,acts,82.3582,49.6
140,2,118,5,4,acts,106.4666,49.6
140,2,141,6,4,acts,123.1888,49.4
140,2,165,7,4,acts,142.6358,49.8
140,2,189,8,4,acts,159.969,49.6
140,2,212,9,4,acts,180.8002,49.8
200,2,0,0,4,acts,0.2398,52.4
200,2,28,1,4,acts,12.8606,52.4
200,2,56,2,4,acts,72.1526,52.4
200,2,84,3,4,acts,143.7914,52.4
200,2,113,4,4,acts,210.0952,52.4
200,2,141,5,4,acts,270.791,52.4
200,2,169,6,4,acts,310.7738,51.8
200,2,197,7,4,acts,367.9116,52.4
200,2,226,8,4,acts,424.3536,52.4
200,2,254,9,4,acts,473.2892,52.4
20,3,0,0,4,acts,0.0866,141.6
20,3,8,1,4,acts,3.9426,141.4
20,3,17,2,4,acts,5.3668,140.4
20,3,26,3,4,acts,6.8184,141.4
20,3,35,4,4,acts,8.562,140.8
20,3,44,5,4,acts,10.1536,142
20,3,53,6,4,acts,11.4068,141
20,3,62,7,4,acts,12.6012,139.6
20,3,71,8,4,acts,14.0746,141.2
20,3,80,9,4,acts,15.5976,141.6
80,3,0,0,4,acts,1.0408,252.8
80,3,17,1,4,acts,39.8588,252.6
80,3,35,2,4,acts,162.4828,253
80,3,53,3,4,acts,293.7802,252.6
80,3,71,4,4,acts,383.5022,251.8
80,3,89,5,4,acts,469.5032,253.4
80,3,107,6,4,acts,556.7128,252.6
80,3,125,7,4,acts,636.5028,255.6
80,3,143,8,4,acts,758.3184,253.4
80,3,160,9,4,acts,785.0166,253.2
140,3,0,0,4,acts,6.1868,310.8
140,3,23,1,4,acts,140.216,310.8
140,3,47,2,4,acts,881.0102,312
140,3,70,3,4,acts,1573.583,312.8
140,3,94,4,4,acts,2219.919,311.6
140,3,118,5,4,acts,2748.6008,311
140,3,141,6,4,acts,3374.8634,311.6
140,3,165,7,4,acts,3729.5324,311.4
140,3,189,8,4,acts,4220.6364,311.6
140,3,212,9,4,acts,4690.844,312.4
200,3,0,0,4,acts,20.0884,344.2
200,3,28,1,4,acts,238.4922,343.4
200,3,56,2,4,acts,2044.488,343.8
200,3,84,3,4,acts,4138.6494,343.4
200,3,113,4,4,acts,6372.4064,344.8
200,3,141,5,4,acts,8005.702,344.8
200,3,169,6,4,acts,9377.8528,344.2
200,3,197,7,4,acts,10630.7236,344
200,3,226,8,4,acts,11678.5508,343.8
200,3,254,9,4,acts,13106.6584,344.4
20,2,0,0,5,acts,0.0392,30.8
20,2,8,1,5,acts,10.4058,30.8
20,2,17,2,5,acts,12.5578,30.8
20,2,26,3,5,acts,10.0564,30.8
20,2,35,4,5,acts,14.5296,30.8
20,2,44,5,5,acts,3.7598,30.8
20,2,53,6,5,acts,3.8072,30.8
20,2,62,7,5,acts,11.176,30.8
20,2,71,8,5,acts,4.3498,30.8
20,2,80,9,5,acts,4.538,30.8
80,2,0,0,5,acts,0.1032,44
80,2,17,1,5,acts,20.2272,44
80,2,35,2,5,acts,14.422,44
80,2,53,3,5,acts,25.2444,44
80,2,71,4,5,acts,56.382,44
80,2,89,5,5,acts,31.9078,44
80,2,107,6,5,acts,37.3574,44
80,2,125,7,5,acts,43.059,44
80,2,143,8,5,acts,48.0512,44
80,2,160,9,5,acts,52.703,44
140,2,0,0,5,acts,0.1694,49.6
140,2,23,1,5,acts,14.6054,49.6
140,2,47,2,5,acts,47.0984,49.6
140,2,70,3,5,acts,74.5292,49.6
140,2,94,4,5,acts,103.3586,49.6
140,2,118,5,5,acts,129.475,49.6
140,2,141,6,5,acts,149.3134,49.6
140,2,165,7,5,acts,173.8842,49.6
140,2,189,8,5,acts,192.0192,49.6
140,2,212,9,5,acts,215.0726,49.6
200,2,0,0,5,acts,0.2424,52.4
200,2,28,1,5,acts,26.9156,52.4
200,2,56,2,5,acts,141.0692,52.4
200,2,84,3,5,acts,178.2594,52.4
200,2,113,4,5,acts,265.0326,52.4
200,2,141,5,5,acts,332.7074,52.4
200,2,169,6,5,acts,388.607,52
200,2,197,7,5,acts,445.7942,52.4
200,2,226,8,5,acts,508.6116,52.4
200,2,254,9,5,acts,560.9682,52.4
20,3,0,0,5,acts,0.0866,141.6
20,3,8,1,5,acts,4.1996,141.4
20,3,17,2,5,acts,6.38,141.6
20,3,26,3,5,acts,8.2692,141.4
20,3,35,4,5,acts,9.9946,142
20,3,44,5,5,acts,11.5424,141
20,3,53,6,5,acts,12.8274,140.6
20,3,62,7,5,acts,14.3644,141
20,3,71,8,5,acts,15.6532,141.8
20,3,80,9,5,acts,16.8852,140.6
80,3,0,0,5,acts,1.0326,252.8
80,3,17,1,5,acts,76.4074,252.8
80,3,35,2,5,acts,234.6424,253
80,3,53,3,5,acts,360.35,252.6
80,3,71,4,5,acts,461.2768,252.6
80,3,89,5,5,acts,545.1402,252.6
80,3,107,6,5,acts,641.6378,252.6
80,3,125,7,5,acts,764.6188,252.6
80,3,143,8,5,acts,809.694,252.2
80,3,160,9,5,acts,894.2748,252.6
140,3,0,0,5,acts,6.2394,310.8
140,3,23,1,5,acts,314.6316,310.8
140,3,47,2,5,acts,1198.3482,310.8
140,3,70,3,5,acts,2050.3748,311
140,3,94,4,5,acts,2720.6902,310.8
140,3,118,5,5,acts,3268.599,311.8
140,3,141,6,5,acts,3873.7628,311
140,3,165,7,5,acts,4346.982,311.6
140,3,189,8,5,acts,4608.2966,310.8
140,3,212,9,5,acts,5159.1506,312
200,3,0,0,5,acts,21.7796,344.2
200,3,28,1,5,acts,767.0424,344.2
200,3,56,2,5,acts,3041.544,344.2
200,3,84,3,5,acts,5701.7096,344.2
200,3,113,4,5,acts,8030.5666,344.2
200,3,141,5,5,acts,9775.2146,345
200,3,169,6,5,acts,10853.352,344.2
200,3,197,7,5,acts,12129.4238,343.8
200,3,226,8,5,acts,13583.4234,343.6
200,3,254,9,5,acts,15036.4606,344.2
20,2,0,0,2,casa,2.2,23.8
20,2,8,1,2,casa,0.6,24.2
20,2,17,2,2,casa,2.2,24.6
20,2,26,3,2,casa,0.2,24.4
20,2,35,4,2,casa,2,26
20,2,44,5,2,casa,3.2,25.8
20,2,53,6,2,casa,1,27.6
20,2,62,7,2,casa,1.5,26.6
20,2,71,8,2,casa,2.7,27
20,2,80,9,2,casa,2.8,28.6
80,2,0,0,2,casa,41.2,35.4
80,2,17,1,2,casa,25.3,36
80,2,35,2,2,casa,45.6,35.8
80,2,53,3,2,casa,26.7,36.4
80,2,71,4,2,casa,63.8,36.6
80,2,89,5,2,casa,69.2,39
80,2,107,6,2,casa,21.6,42.2
80,2,125,7,2,casa,24.2,42.6
80,2,143,8,2,casa,121,44.2
80,2,160,9,2,casa,68.2,49.8
140,2,0,0,2,casa,109.8,41
140,2,23,1,2,casa,130,41
140,2,47,2,2,casa,89,41.4
140,2,70,3,2,casa,127.9,41.6
140,2,94,4,2,casa,241.5,41.6
140,2,118,5,2,casa,56.4,44.6
140,2,141,6,2,casa,362.6,43.6
140,2,165,7,2,casa,58.2,52.4
140,2,189,8,2,casa,128.1,51.6
140,2,212,9,2,casa,205.3,55.8
200,2,0,0,2,casa,566,43.8
200,2,28,1,2,casa,575.7,44
200,2,56,2,2,casa,362,44
200,2,84,3,2,casa,334.3,44.2
200,2,113,4,2,casa,320.9,44.2
200,2,141,5,2,casa,245.3,45.2
200,2,169,6,2,casa,202.5,47.8
200,2,197,7,2,casa,195.4,66
200,2,226,8,2,casa,382.5,58.4
200,2,254,9,2,casa,543.5,60
20,3,0,0,2,casa,362.4,125.6
20,3,8,1,2,casa,303.2,124.6
20,3,17,2,2,casa,189.2,127.6
20,3,26,3,2,casa,160,129.8
20,3,35,4,2,casa,392.4,130.4
20,3,44,5,2,casa,55,135.6
20,3,53,6,2,casa,175.8,135.4
20,3,62,7,2,casa,40.6,141.2
20,3,71,8,2,casa,116.8,141.6
20,3,80,9,2,casa,142.5,150.2
80,3,0,0,2,casa,*,*
80,3,17,1,2,casa,*,*
80,3,35,2,2,casa,*,*
80,3,53,3,2,casa,*,*
80,3,71,4,2,casa,*,*
80,3,89,5,2,casa,*,*
80,3,107,6,2,casa,*,*
80,3,125,7,2,casa,*,*
80,3,143,8,2,casa,*,*
80,3,160,9,2,casa,*,*
140,3,0,0,2,casa,*,*
140,3,23,1,2,casa,*,*
140,3,47,2,2,casa,*,*
140,3,70,3,2,casa,*,*
140,3,94,4,2,casa,*,*
140,3,118,5,2,casa,*,*
140,3,141,6,2,casa,*,*
140,3,165,7,2,casa,*,*
140,3,189,8,2,casa,*,*
140,3,212,9,2,casa,*,*
200,3,0,0,2,casa,*,*
200,3,28,1,2,casa,*,*
200,3,56,2,2,casa,*,*
200,3,84,3,2,casa,*,*
200,3,113,4,2,casa,*,*
200,3,141,5,2,casa,*,*
200,3,169,6,2,casa,*,*
200,3,197,7,2,casa,*,*
200,3,226,8,2,casa,*,*
200,3,254,9,2,casa,*,*
20,2,0,0,3,casa,2.7,23.8
20,2,8,1,3,casa,1.2,24.2
20,2,17,2,3,casa,2.8,24.4
20,2,26,3,3,casa,3.3,24.2
20,2,35,4,3,casa,1,24.4
20,2,44,5,3,casa,0.6,24.6
20,2,53,6,3,casa,2.2,24.6
20,2,62,7,3,casa,3.1,24.6
20,2,71,8,3,casa,1.6,25
20,2,80,9,3,casa,1.2,25
80,2,0,0,3,casa,152.2,35.4
80,2,17,1,3,casa,31.3,35.4
80,2,35,2,3,casa,62.6,35.8
80,2,53,3,3,casa,54.4,35.6
80,2,71,4,3,casa,43.6,36
80,2,89,5,3,casa,34,35.8
80,2,107,6,3,casa,199.3,36.2
80,2,125,7,3,casa,23.6,36
80,2,143,8,3,casa,53.3,36.2
80,2,160,9,3,casa,24.1,36.2
140,2,0,0,3,casa,90.6,41
140,2,23,1,3,casa,75,40.8
140,2,47,2,3,casa,38.4,41
140,2,70,3,3,casa,79.8,41.2
140,2,94,4,3,casa,65.6,40.8
140,2,118,5,3,casa,187.7,40.8
140,2,141,6,3,casa,132.5,41.2
140,2,165,7,3,casa,176.2,41.2
140,2,189,8,3,casa,252.3,41
140,2,212,9,3,casa,203.1,41.2
200,2,0,0,3,casa,491.2,44
200,2,28,1,3,casa,608,44.2
200,2,56,2,3,casa,476.7,44
200,2,84,3,3,casa,318.4,44
200,2,113,4,3,casa,526.2,44
200,2,141,5,3,casa,148.6,44.4
200,2,169,6,3,casa,403.9,44.2
200,2,197,7,3,casa,328.7,44.2
200,2,226,8,3,casa,374.2,44
200,2,254,9,3,casa,605.3,44.4
20,3,0,0,3,casa,592.7,124
20,3,8,1,3,casa,2707,125.6
20,3,17,2,3,casa,1030.1,127.4
20,3,26,3,3,casa,201.1,125.4
20,3,35,4,3,casa,73.2,130.2
20,3,44,5,3,casa,40.2,132
20,3,53,6,3,casa,131.1,127.4
20,3,62,7,3,casa,192.8,129.8
20,3,71,8,3,casa,863.9,128
20,3,80,9,3,casa,1439.9,130.4
80,3,0,0,3,casa,*,*
80,3,17,1,3,casa,*,*
80,3,35,2,3,casa,*,*
80,3,53,3,3,casa,*,*
80,3,71,4,3,casa,*,*
80,3,89,5,3,casa,*,*
80,3,107,6,3,casa,*,*
80,3,125,7,3,casa,*,*
80,3,143,8,3,casa,*,*
80,3,160,9,3,casa,*,*
140,3,0,0,3,casa,*,*
140,3,23,1,3,casa,*,*
140,3,47,2,3,casa,*,*
140,3,70,3,3,casa,*,*
140,3,94,4,3,casa,*,*
140,3,118,5,3,casa,*,*
140,3,141,6,3,casa,*,*
140,3,165,7,3,casa,*,*
140,3,189,8,3,casa,*,*
140,3,212,9,3,casa,*,*
200,3,0,0,3,casa,*,*
200,3,28,1,3,casa,*,*
200,3,56,2,3,casa,*,*
200,3,84,3,3,casa,*,*
200,3,113,4,3,casa,*,*
200,3,141,5,3,casa,*,*
200,3,169,6,3,casa,*,*
200,3,197,7,3,casa,*,*
200,3,226,8,3,casa,*,*
200,3,254,9,3,casa,*,*
20,2,0,0,4,casa,0.3,24.2
20,2,8,1,4,casa,1.5,24.2
20,2,17,2,4,casa,1.5,24.6
20,2,26,3,4,casa,1.6,24.2
20,2,35,4,4,casa,1.4,24.2
20,2,44,5,4,casa,2.9,24.4
20,2,53,6,4,casa,1.8,24
20,2,62,7,4,casa,3.4,23.8
20,2,71,8,4,casa,2.6,24.2
20,2,80,9,4,casa,0.3,24.2
80,2,0,0,4,casa,58.6,36
80,2,17,1,4,casa,82.2,35.6
80,2,35,2,4,casa,40.2,35.8
80,2,53,3,4,casa,45.2,35.6
80,2,71,4,4,casa,29.8,35.6
80,2,89,5,4,casa,29.1,36
80,2,107,6,4,casa,49.6,36.2
80,2,125,7,4,casa,46.7,36
80,2,143,8,4,casa,15.8,37
80,2,160,9,4,casa,29.3,36
140,2,0,0,4,casa,375.8,40.8
140,2,23,1,4,casa,94.1,41.2
140,2,47,2,4,casa,83.4,41
140,2,70,3,4,casa,262.9,41.2
140,2,94,4,4,casa,239.2,40.6
140,2,118,5,4,casa,112.8,41
140,2,141,6,4,casa,87.7,41.2
140,2,165,7,4,casa,205.6,41
140,2,189,8,4,casa,181.2,41.2
140,2,212,9,4,casa,150.7,41.2
200,2,0,0,4,casa,627.8,43.8
200,2,28,1,4,casa,1771.7,43.6
200,2,56,2,4,casa,501.3,45.2
200,2,84,3,4,casa,374.6,43.8
200,2,113,4,4,casa,303.4,44
200,2,141,5,4,casa,225.6,44.2
200,2,169,6,4,casa,516.2,44
200,2,197,7,4,casa,487.4,44.4
200,2,226,8,4,casa,314.2,45.4
200,2,254,9,4,casa,463.8,44
20,3,0,0,4,casa,303.6,119
20,3,8,1,4,casa,6754,124.4
20,3,17,2,4,casa,130.9,125.4
20,3,26,3,4,casa,181,126
20,3,35,4,4,casa,657.1,125.2
20,3,44,5,4,casa,526.5,126.2
20,3,53,6,4,casa,132,126.6
20,3,62,7,4,casa,285.3,128.4
20,3,71,8,4,casa,280.2,125.8
20,3,80,9,4,casa,*,*
80,3,0,0,4,casa,*,*
80,3,17,1,4,casa,*,*
80,3,35,2,4,casa,*,*
80,3,53,3,4,casa,*,*
80,3,71,4,4,casa,*,*
80,3,89,5,4,casa,*,*
80,3,107,6,4,casa,*,*
80,3,125,7,4,casa,*,*
80,3,143,8,4,casa,*,*
80,3,160,9,4,casa,*,*
140,3,0,0,4,casa,*,*
140,3,23,1,4,casa,*,*
140,3,47,2,4,casa,*,*
140,3,70,3,4,casa,*,*
140,3,94,4,4,casa,*,*
140,3,118,5,4,casa,*,*
140,3,141,6,4,casa,*,*
140,3,165,7,4,casa,*,*
140,3,189,8,4,casa,*,*
140,3,212,9,4,casa,*,*
200,3,0,0,4,casa,*,*
200,3,28,1,4,casa,*,*
200,3,56,2,4,casa,*,*
200,3,84,3,4,casa,*,*
200,3,113,4,4,casa,*,*
200,3,141,5,4,casa,*,*
200,3,169,6,4,casa,*,*
200,3,197,7,4,casa,*,*
200,3,226,8,4,casa,*,*
200,3,254,9,4,casa,*,*
20,2,0,0,5,casa,1.4,24.2
20,2,8,1,5,casa,3.9,23.8
20,2,17,2,5,casa,3.1,24
20,2,26,3,5,casa,4.1,24
20,2,35,4,5,casa,0.6,25.2
